dummy,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
6,0.0719203,1.0238269,0.0722506,0.1361453,0.9099933,0.0992719,0.2130462,1.0167959,0.9960955,0.9442137
6,0.0961921,0.946175,0.0803946,0.1823179,0.8545718,0.2813787,0.2191948,0.9982723,1.0668767,1.0354073
6,0.0603201,0.9785505,0.0493583,0.1439149,0.9197569,0.1739434,0.2225453,0.9924065,0.9148136,0.9932965
6,0.0701949,1.0302148,0.057429,0.193624,0.9445815,0.0944201,0.1759732,0.9629613,0.9860966,1.0364407
6,0.0829444,0.9217235,0.0693654,0.1555462,0.9533045,0.3085299,0.1436697,1.0558183,1.1300717,1.0541038
6,0.0800467,0.9786584,0.0565915,0.1380772,0.9139498,0.1065941,0.2088996,1.00044,0.9718268,0.9909204
6,0.0835645,1.0365717,0.0467368,0.1532233,0.9914722,0.078082,0.1853057,0.990984,0.9979323,1.0049046
6,0.052848,0.9243043,0.0333595,0.1311844,0.8243259,0.1569171,0.1748219,0.9238273,0.9970962,1.0624024
6,0.0523845,0.9573935,0.0548989,0.1614918,0.9486761,0.1205189,0.2136881,0.9487342,1.0477648,1.0338496
6,0.0729629,1.0219776,0.0760291,0.1418207,0.95443,0.1196241,0.1980335,1.0668863,1.0826568,0.9550324
6,0.0729243,0.966916,0.0789758,0.1028234,0.927317,0.0743836,0.1997797,1.0138438,1.0567015,1.0147385
6,0.0717114,0.961829,0.0652915,0.135096,0.946077,0.1842322,0.2053689,1.1346412,1.0055158,1.043294
6,0.0878502,0.9899659,0.0603381,0.1594822,0.8543008,0.1338506,0.2089044,1.1139273,0.9841537,0.9897664
6,0.0690685,1.0785054,0.054641,0.1562378,0.8279844,0.3762292,0.1742102,0.9957634,0.9982743,1.0573254
6,0.0768883,1.042856,0.049467,0.177527,0.84174,0.4143615,0.2034055,1.1180532,0.9838955,0.9507892
6,0.0621262,1.0411005,0.0674945,0.2292689,0.8555277,0.5839854,0.2057971,1.0302019,1.0756795,1.0002766
6,0.0757226,0.9749682,0.0600981,0.1646811,0.9252015,0.2287243,0.1657472,1.0876351,1.0391126,1.09245
6,0.0676761,0.9927929,0.0434026,0.142719,0.9650222,0.1418998,0.1933152,1.0093685,1.0844365,0.9893162
6,0.0749934,1.0750665,0.0410315,0.0964886,0.9984049,0.0517968,0.1885339,1.0477629,1.0079104,1.0223769
6,0.0533595,1.0247758,0.0503997,0.0784056,0.9820574,0.0405068,0.2143945,0.9580041,0.9527627,1.0534441
6,0.0893659,0.9956671,0.0525075,0.1568322,0.845311,0.1270011,0.1913166,1.0081893,0.9989854,1.1113522
6,0.0656464,0.9647873,0.0634374,0.1082813,0.9173705,0.0866087,0.1582138,1.0506468,0.9697138,1.0964659
6,0.0746364,1.0523576,0.0426417,0.1245641,1.0197344,0.0559655,0.2152355,1.0411772,0.9795358,1.0732669
6,0.0611605,1.0782795,0.0507163,0.15711,0.8977972,0.2261309,0.1798451,1.0831589,0.983863,1.1129232
6,0.0647154,1.0394448,0.0747782,0.1913844,0.8925135,0.366195,0.2176466,1.0591814,0.9028232,1.0370481
6,0.069625,0.9727315,0.0426153,0.1201996,0.973338,0.1065064,0.210288,1.0228876,1.0882231,1.0475488
