dummy,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
0,0.0369867,1.0849814,0.057574,0.1151114,0.9587677,0.0522288,0.4193905,0.9969858,1.0257385,1.0018859
0,0.0820377,1.0217244,0.078891,0.1776245,0.9734606,0.2730292,0.3468929,1.0546376,0.9527671,1.0303533
0,0.0533326,1.0445273,0.0575919,0.1186816,0.947055,0.1002333,0.3970856,1.0691681,1.0317053,1.0280721
0,0.0624349,1.1464493,0.037438,0.1174816,0.931446,0.0780932,0.4507521,0.9912345,0.9859558,1.0217352
0,0.0502348,1.0570657,0.0683283,0.1766911,0.8805541,0.1931669,0.4853501,0.9085684,1.005502,1.0403723
0,0.0574745,1.041819,0.0794566,0.162249,0.8836907,0.1665876,0.4397722,1.0362932,1.020861,1.0492137
0,0.047248,0.9622065,0.0478419,0.1430197,0.9908576,0.0857593,0.4673055,1.0143718,0.9651001,1.0110795
0,0.073259,1.1081476,0.0804226,0.1295528,0.8957485,0.2315074,0.4009877,1.0678987,0.9953654,1.0147551
0,0.0574153,1.0055769,0.0622932,0.1445665,0.9259657,0.254687,0.4421976,0.9658422,1.0209139,1.0381779
0,0.0621688,1.0727392,0.0497675,0.134067,1.0265237,0.0779402,0.4826139,1.0060104,1.0254492,0.9686398
0,0.0727491,0.8784089,0.0575351,0.1517447,0.9844163,0.0908892,0.4151441,1.0609618,0.9584512,1.0107217
0,0.0551752,1.0624531,0.0664624,0.1334082,0.9690136,0.1273534,0.4349687,1.0073607,1.0730622,1.0015541
0,0.0889187,0.9971541,0.0655967,0.2305265,0.8723956,0.2939224,0.398466,1.0314702,0.8947229,1.0199169
0,0.064019,0.9989116,0.0666577,0.1438717,0.8427364,0.1589609,0.4391266,1.0125322,1.0919133,1.0109193
0,0.058272,0.9912977,0.0467766,0.165568,0.9711293,0.0737742,0.3500808,1.0609535,1.0574483,0.9875754
0,0.0592661,0.9875534,0.0550985,0.1431402,0.8723603,0.1075752,0.4537827,0.9504717,0.9760582,0.9853008
0,0.0521681,0.9141925,0.076384,0.1306221,0.9359986,0.1193227,0.474242,0.9840502,1.0766194,1.0031771
0,0.0720141,1.0469467,0.0531482,0.1673684,0.8680871,0.099746,0.4246746,1.0243876,1.0388333,0.958512
0,0.0723946,0.9889924,0.0509809,0.1239253,0.9686651,0.1034282,0.4158972,0.9365344,1.0137076,1.042692
0,0.0635749,1.0001196,0.0799294,0.1510865,0.9401992,0.2786426,0.4367011,0.9829146,1.0697895,0.9791045
0,0.0962323,0.9704741,0.0341347,0.1797152,0.9046338,0.2226495,0.4112183,0.9732036,1.0370054,1.0015082
0,0.0721068,1.0422186,0.0734474,0.1811905,0.8879679,0.3190051,0.3594045,1.0338563,0.9903227,0.9735833
0,0.0604922,1.0321105,0.0559489,0.2040884,0.8105043,0.2406548,0.3594328,1.0165577,0.9827682,1.0725693
0,0.0676796,0.8716048,0.0738391,0.1643718,0.933511,0.2772892,0.4290001,1.0502569,0.9628509,0.934247
0,0.0767103,1.0384041,0.0521103,0.1348117,0.9262852,0.1072844,0.4401803,1.069375,1.0138338,1.0898345
0,0.0769714,1.0015486,0.0660085,0.1654532,0.9314609,0.0981707,0.3886057,1.0658086,1.0114035,1.0522324
0,0.0680501,1.0145388,0.0637548,0.1183145,0.9344316,0.0982387,0.4235308,1.0011162,0.9795161,0.9919434
0,0.0778999,0.9526518,0.0740939,0.1520981,0.9889796,0.2224468,0.3550417,0.9599271,1.0000888,0.9816247
0,0.0741556,1.0790246,0.0818143,0.1365591,0.7989364,0.2321657,0.3959599,1.0175125,0.9530554,1.0558996
0,0.0780868,0.9832425,0.0497727,0.1399075,0.8295543,0.0759142,0.414547,1.0145012,0.9693911,1.0741244
0,0.0920371,0.9937022,0.0569904,0.1348841,0.9556832,0.1838957,0.3997128,1.0840544,0.9555121,0.9852838
0,0.0815758,1.1177783,0.0660766,0.1191497,0.8853564,0.0865242,0.3972955,1.0118796,0.9355893,1.0857911
0,0.0755766,0.9413991,0.066366,0.1585995,0.9210929,0.1785491,0.4234247,1.010844,1.0900026,1.0742947
0,0.066733,1.0596102,0.0553975,0.1679764,1.0034084,0.0620472,0.4246754,1.0154038,0.913509,1.0111143
0,0.0918953,0.9525751,0.0488346,0.1441492,0.937511,0.1131316,0.4244896,1.0089929,1.0550368,0.9953174
0,0.0556019,1.0198044,0.0730513,0.1308384,0.9503367,0.1412633,0.453746,1.0205346,0.9362141,1.0571391
0,0.0746442,1.0039259,0.0729237,0.1108825,0.931794,0.0531595,0.4294613,1.0815713,0.9789864,1.0245812
0,0.0648031,1.0107589,0.0509623,0.1156723,0.9056682,0.0996386,0.4357761,1.0043089,0.951429,0.9843042
0,0.0653153,1.0029488,0.0712266,0.1349658,0.9270851,0.1341234,0.411005,1.0549906,0.9922827,1.0806796
0,0.0697353,1.0608195,0.06831,0.1431946,0.9110984,0.139382,0.3813412,0.9684337,1.0303472,0.9837863
0,0.0672177,0.9243393,0.0715985,0.1481423,0.9716652,0.0948628,0.4035993,1.0653928,1.0384698,0.9539526
0,0.0632301,1.0297454,0.0308121,0.143647,0.9480401,0.0785267,0.4529687,1.0369001,0.9903802,0.9458432
0,0.0624729,1.0247347,0.0587286,0.1703808,0.9604389,0.1441699,0.4196128,1.1263149,1.0643724,1.0437719
0,0.0582509,0.9126262,0.0724152,0.1444065,0.8416684,0.0967948,0.4614231,0.9611691,0.9641048,1.028705
0,0.0802598,1.0159682,0.0654213,0.1434022,0.9217014,0.2082748,0.4056498,1.0173909,1.0842893,0.9677198
0,0.0733491,1.0251008,0.0771301,0.1583176,0.9208762,0.0959725,0.4065707,0.9563683,1.0367368,1.0035869
0,0.0830766,0.9349743,0.0461909,0.1874367,0.9192677,0.1910881,0.4541883,0.982117,1.0147577,1.0339295
0,0.0775672,0.9797002,0.0615509,0.159728,0.9119461,0.1750895,0.436991,0.9827494,1.0832679,1.0401103
0,0.0634132,0.9702988,0.0400402,0.1839896,0.9171818,0.2116175,0.4035166,1.1118927,1.0019117,1.0105971
0,0.0775207,1.0093826,0.0685357,0.1609991,1.0186152,0.1603673,0.4186065,1.028598,1.085406,0.9959509
